dataset,isConfocal,voxelResolution,wallStride,seconds,filters
Z_d=0.5_l=[1x1]_s=[256x256].mat,0,16,16,4.2613086,raw/lap/log
Z_d=0.5_l=[1x1]_s=[256x256].mat,0,16,8,16.2726855,raw/lap/log
Z_d=0.5_l=[1x1]_s=[256x256].mat,0,16,1,1195.5475593,raw/lap/log
Z_d=0.5_l=[1x1]_s=[256x256].mat,0,32,16,40.1631866,raw/lap/log
Z_d=0.5_l=[1x1]_s=[256x256].mat,0,32,8,141.9880789,raw/lap/log
Z_d=0.5_l=[1x1]_s=[256x256].mat,0,64,16,279.8693563,raw/lap/log
usaf_d=0.5_l=[1x1]_s=[256x256].mat,0,16,16,4.4964276,raw/lap/log
usaf_d=0.5_l=[1x1]_s=[256x256].mat,0,16,8,16.3589209,raw/lap/log
usaf_d=0.5_l=[1x1]_s=[256x256].mat,0,16,1,1206.1254754,raw/lap/log
usaf_d=0.5_l=[1x1]_s=[256x256].mat,0,32,16,37.4112556,raw/lap/log
usaf_d=0.5_l=[1x1]_s=[256x256].mat,0,32,8,149.3411895,raw/lap/log
usaf_d=0.5_l=[1x1]_s=[256x256].mat,0,64,16,303.688745,raw/lap/log
bunny_d=0.5_l=[1x1]_s=[256x256].mat,0,32,8,150.9640757,raw/log
bunny_d=0.5_c=[256x256].mat,1,32,8,145.5519339,raw/log
bunny_d=0.5_c=[256x256].mat,1,32,8,149.4765067,phasor/log
usaf_d=0.5_l=[1x1]_s=[256x256].mat,0,32,8,147.8543055,phasor/log
